Comment,Designator,Footprint,LCSC
1K,R7,R_0402_1005Metric,C11702
"PRTR5V0U2X,215",D1,SOT-143,C12333
USB_B_Micro,J1,USB_Micro-B_Molex_47346-0001,C132560
32.786KHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C145140
100nF,"C1,C14,C19,C28,C29,C30",C_0402_1005Metric,C1525
20pF,C11,C_0402_1005Metric,C1530
20pF,C9,C_0402_1005Metric,C1554
4.7nF,C6,C_0805_2012Metric,C1744
LED,D2,LED_0603_1608Metric,C2286
4.7uF,"C12,C27",C_0402_1005Metric,C23733
330,R18,R_0402_1005Metric,C25104
39,R15,R_0402_1005Metric,C25110
100k,R17,R_0402_1005Metric,C25741
10K,R16,R_0402_1005Metric,C25744
1M,R2,R_0402_1005Metric,C26083
AMPHENOL_114-00841-68,J3,AMPHENOL_114-00841-68,C3195424
2k,"R22,R23",R_0402_1005Metric,C4109
AP7215-33YG-13,U2,SOT-89-3,C460367
1uF,"C10,C32,C8",C_0402_1005Metric,C52923
ATSAMD21G18A-48,U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,C614475
BLM18PG471SN1D,L6,L_0603_1608Metric,C97853
2X3_SMD_MALE,J8,2X3_SMT,
PMEG2005EL,D3,D_SOD-323,
Conn_01x14,J2,PinHeader_1x14_P2.54mm_Vertical,
Conn_01x14,J6,PinHeader_1x14_P2.54mm_Vertical,
